User Id,F10_median,F10_avg,F10_min,F10_max,N10_median,N10_avg,N10_min,N10_max,L10_median,L10_avg,L10_min,L10_max,FiW_median,FiW_avg,FiW_min,FiW_max,SW_median,SW_avg,SW_min,SW_max,TW_median,TW_avg,TW_min,TW_max,FW_median,FW_avg,FW_min,FW_max
404,14241.1,12656.4366666667,1224.96,23790.24,7205.74,9867.9313333333,2209.81,17311.96,9314.98,8120.8596666667,1646.81,14882.24,12170.24,11925.8604761905,1224.96,23790.24,16011.81,13037.050952381,4421.81,17811.96,4779.98,8256.2823809524,2209.81,17311.96,9974.98,8371.5257142857,1646.81,13882.24
437,30602.44,28574.36,141.18,60693.16,11106.42,12850.0936666667,138.3,59528.65,1521.76,19013.5806666667,537.04,179708.76,32602.44,29853.3552380952,141.18,55893.16,17020.02,20473.5614285714,138.3,60693.16,6016.17,9235.3442857143,887.69,24086.42,1521.76,20224.4080952381,887.69,179708.76
487,24781.76,23027.6485,5002.71,48037.76,11893.01,13802.7805,816.71,33384.71,5581.01,10386.4646666667,94.52,40308.92,25210.88,25271.3969047619,5002.71,48037.76,18147.76,15367.3752380952,1316.71,35779.76,11633.26,13390.5633333333,587.39,33384.71,5581.01,9520.9123809524,94.52,25300.76
519,60429.84,67572.2536666667,33736.1,97720.96,63524.84,67755.7033333333,35976.75,99027.96,61385.02,68284.4558333333,35976.75,105034.71,60429.84,67137.1833333333,33736.1,97720.96,64818.34,68318.7914285714,36296.1,99027.96,62770.52,67477.6911904762,35976.75,97857.96,61385.02,67874.5188095238,35976.75,96857.96
517,4075,18423.15,0,58906,14075,22268.8333333333,0,58906,13113,17252.1666666667,0,43906,4075,14523.8095238095,0,57726,29863,25981.9285714286,0,58906,14075,20196.2142857143,0,58906,13113,17434.3095238095,0,43906
541,8649.86,13271.489,231.9,36352.61,9061.535,9112.1276666667,268.61,22150.62,4565.46,6233.1986666667,18.61,19164.28,5863.11,12289.6014285714,231.9,33362.46,10392.61,12060.3695238095,1388.61,36352.61,7178.46,8811.6885714286,268.61,22150.62,5053.46,6658.4547619048,18.61,16981.23
546,101390.33,107390.33,86844.33,125936.33,96390.33,94223.6633333334,56844.33,125936.33,76617.33,79981.13,46844.33,136844.33,101390.33,108771.282380952,96844.33,125936.33,96390.33,101390.33,86844.33,125936.33,96390.33,89961.7585714286,56844.33,110936.33,75936.33,70676.0442857143,46844.33,91390.33
546,125936.33,137235.996666667,86844.33,215404.33,115482.33,121402.663333333,56844.33,211904.33,101617.33,107488.73,46844.33,191904.33,131959.33,138866.949047619,96844.33,215404.33,115482.33,130009.806190476,86844.33,211904.33,113209.33,116938.377619048,56844.33,191904.33,93436.33,100033.615714286,46844.33,191904.33
569,1712.295,20175.5971666667,0.11,130013.95,11091.9,35094.6516666666,44.8,558862.38,20995.52,26112.0901666667,0.11,194189.65,3865.95,21834.4616666667,0.11,130013.95,2486.77,28781.2428571429,0.11,558862.38,17730.85,32084.0876190476,44.8,284864.65,23786.825,29887.1497619047,5.84,194189.65
538,2749.16,16833.3666666667,8.43,131052.39,43262,48310.9626666667,8.43,125166.06,22443.09,26419.17,67.53,171686.6,2749.16,18214.4502380952,8.43,131052.39,3740.765,30876.1147619048,8.43,125166.06,43262,48861.87,14469.16,90844.16,22501.26,23390.1766666667,1467.53,50432.5
579,10101.58,12806.4866666667,0,36971.58,5701.58,6683.62,0,20652.58,1801,5582.4533333333,7.58,30056.58,10101.58,13507.8628571429,0,36971.58,6201.58,8563.2438095238,0,31284.58,5301.58,6705.9580952381,0,16080,1751,3735.2914285714,7.58,30056.58
583,2190.065,2281.2866666667,-10.8,10069.7,771.815,2394.4046666667,-10.8,16407.7,39.93,985.335,11.45,5707.7,2569.7,3127.8057142857,0.7,10069.7,65.93,436.4961904762,-10.8,2335.93,796.43,3405.4871428572,39.93,16407.7,39.93,907.9552380952,11.45,4507.7
591,3519.52,6253.1503333333,0.49,27875.77,2984.49,3188.9443333333,15.24,9247.49,15.24,315.8673333333,0,1864.49,2040,4621.9052380952,0.49,27875.77,6902.37,7405.3814285714,1605.24,12695.77,1255.24,1553.2757142857,15.24,6041.24,15.24,307.8852380952,0,1211.49
540,0,954.7945,0,7263.44,139.25,676.703,0,6605,9.25,350.4895,0,3750.56,0,1179.6885714286,0,7263.44,100.375,303.9464285714,0,896.75,139.25,1117.7764285714,0,6605,9.25,229.9585714286,0,1700.56
600,2141,5374.7466666667,8.3,22632.5,4114.5,5267.41,449.5,11614.5,2846.08,2614.5266666667,449.5,4114.5,1449.5,1430.1,8.3,2832.5,11537.58,10237.2438095238,526.08,22632.5,3949.5,3890.9790476191,449.5,9614.5,2896.08,2611.8838095238,449.5,4114.5
616,867.53,2886.366,0,13913.86,72.53,1124.1166666667,0,6965.02,883.02,1658.0643333333,0,5753.02,1117.53,3095.8728571429,54.86,13913.86,72.53,2191.8023809524,0,6965.02,72.53,540.8976190476,0,1833.02,753.02,1473.82,132.53,5753.02
436,12240.01,10129.522,138.25,30517.25,570.96,8674.6976666667,72.25,21792.77,138.25,5393.2533333333,72.25,18717.77,12468.77,9680.5604761905,138.25,19299.81,15132.25,10983.3319047619,72.25,30517.25,546.06,7143.8538095238,72.25,21792.77,138.25,5436.3695238095,117.86,18717.77
622,20679.2,17745.7488333333,0.72,39090.33,2361.32,8402.7215,0.26,39016.03,146.25,4617.496,2.2,31002.2,21711.87,18897.5857142857,34.87,39090.33,8382.475,12972.7280952381,0.26,39043.33,1323.11,6503.5973809524,0.26,30633.39,99.25,3746.0083333333,2.2,31002.2
645,79,3396.5333333333,3,14227,54,215,3,1903,8,22.4,3,54,79,3061,3,14227,1328,2071.1904761905,8,10033,8,30.2380952381,3,103,8,21.6666666667,3,54
656,15.28,1438.933,0,18946,40.38,724.7206666667,0.78,2670.38,9.38,16.2466666667,0.78,155.78,15.28,1213.4171428572,0,18946,2007.75,1788.3747619048,15.28,4470.38,39.38,92.9771428571,0.78,1399.38,9.38,9.7038095238,0.78,40.38
657,4780.9,9661.5056666667,39.55,31898.6,7292.87,8892.632,427.25,20616.63,7052.37,8496.6643333333,227.25,16616.63,3769.44,8511.1119047619,39.55,31898.6,9592.87,10850.9657142857,427.25,20616.63,7292.87,8278.9166666667,227.25,17616.63,7052.37,8954.6604761905,227.25,16616.63
613,14808.96,16705.12,1069.95,42462.96,1463.81,6157.3993333333,317.45,23383.28,5790.74,7477.2036666667,302.45,20463.81,15720.95,18189.5857142857,1069.95,42462.96,6263.81,10259.1342857143,1069.95,33901.96,1069.95,4891.3866666667,317.45,13000.4,11713.74,8271.8223809524,302.45,20463.81
668,19452.96,19237.7471666667,6.4,47847.46,7917.9,17883.8498333333,28.11,295406.86,6013.275,9445.9881666667,6.4,50077.65,22540.15,21621.3721428572,6.4,47847.46,9443.98,18298.6616666667,2082.86,295406.86,6519.53,14230.8328571429,6.4,84186.11,5041.9,7256.9002380952,6.4,24041.9
708,5981.025,7126.6243333333,42.07,19930.65,1179.13,4224.94,66.69,53117.18,2477.05,5130.8133333333,10.34,24390.81,9542.07,8539.8895238095,42.07,19930.65,1684.18,2244.7357142857,117.18,10561.18,5658.22,6537.7266666667,13.22,53117.18,1437.05,3564.4066666667,10.34,12502.19
700,10304.345,8740.386,14.63,28409.13,10776.63,15124.19,116.06,49917.06,1636.63,6606.6724,436.63,30969.38,10313.13,7771.8802857143,66.08,28409.13,10116.06,14380.1602857143,14.63,49917.06,10776.63,13701.3988571429,802.86,37475.13,1636.63,6765.7802857143,436.63,30969.38
711,1315.35,4052.3416666667,1.35,19418.35,61.35,1275.8233333333,2.35,6135.35,61.35,937.15,1.35,3324.75,1330.35,5118.6238095238,1.35,19418.35,61.35,1614.1119047619,2.35,6135.35,61.35,1040.2833333333,2.35,4481.35,61.35,902.15,1.35,3271.75
777,1025.59,1780.5978333333,1.06,8481.81,3.59,228.2596666667,0,3674.06,0.31,347.8285,0,8218.94,652.815,1723.4526190476,1.06,8481.81,85.23,1097.340952381,0,4389.82,2.36,52.4161904762,0,654.82,0.155,13.0102380952,0,86.82
862,7460.35,6880.6833333333,30.35,14689.35,70.35,2668.2916666667,24.6,9689.35,70.35,95.8333333333,24.6,189.35,9689.35,7869.5404761905,30.35,14689.35,3470.35,4119.1952380953,24.6,9689.35,70.35,1666.1952380952,24.6,8689.35,70.35,94.7666666667,24.6,189.35
890,160.2,3735.6066666667,0.7,54499.2,7370.985,14534.4326666667,9.27,53611.7,1473.27,3874.2133333333,0.7,14317.7,110.2,103.2471428571,0.7,178.27,7679.27,18569.0804761905,9.27,54499.2,3877.27,8277.8828571429,766.27,19737.7,2179.27,4307.8419047619,177.27,14317.7
842,7153.37,8005.9278333333,3.82,25584.11,3026.85,3101.9876666667,5.98,10283.44,53.94,241.8841666667,3.82,1812.37,6851.8,8578.9247619048,3.82,25584.11,5696.33,5562.8828571429,5.98,15252.82,1634.155,1851.6488095238,5.98,4963.82,66.185,208.4054761905,5.98,1292.37
908,14742.78,62309.529,42.53,340856.53,1823.03,45454.1758333333,23.03,278421.03,820.03,54769.0066666667,36.53,381648.53,12246.03,63732.3304761905,42.53,340856.53,10485.79,53646.0366666667,23.03,286421.03,1283.015,42440.6430952381,36.53,255418.03,820.03,42427.9042857143,36.53,243308
920,40.44,487.7786666667,19.13,3049.39,29.125,1389.636,0.76,14628.37,549.39,2220.771,3.88,14527.13,46.51,587.3014285714,19.13,3049.39,34.37,121.7652380952,0.76,2046.51,34.37,2542.8247619048,0.76,14628.37,549.39,2448.9785714286,19.13,14527.13
923,4317.56,3559.91,23.81,25831.56,310.685,1621.8683333333,36.56,4665.56,537.56,910.6266666667,13.56,3705.56,4815.56,4375.9290476191,59.81,25831.56,59.56,1594.0242857143,23.81,5317.56,681.56,1644.7147619048,36.56,4665.56,567.56,961.4647619048,13.56,3205.56
1231,0,842.89,0,9609,37.67,1667.291,-9.83,5911,2.67,4.0466666667,0,14.67,0,443.3661904762,0,9222.67,67.67,1900.9380952381,-8.83,9609,2.67,1242.6847619048,-9.83,5911,2.67,3.4466666667,0,7.67
